"objid";"stationID";"weather_network";"regionID"
20;"300033";20;720
110;"330101";20;720
210;"330061";20;720
310;"330024";20;720
410;"330063";20;720
510;"330025";20;720
610;"330159";20;720
710;"330163";20;920
810;"330021";20;720
910;"330164";20;720
920;"310022";20;920
1020;"310026";20;920
1120;"310032";20;920
1220;"310102";20;920
1320;"330021";20;920
1420;"330024";20;920
1520;"330025";20;920
1620;"330026";20;920
1720;"330039";20;920
1820;"330061";20;920
1920;"330063";20;920
2020;"330092";20;920
2120;"330101";20;920
2220;"330151";20;920
2320;"330153";20;920
2420;"330159";20;920
2520;"330162";20;920
2620;"330163";20;920
2720;"330164";20;920
2820;"344108";20;920
2920;"344109";20;920
3020;"355001";20;920
3120;"810105";20;920
3220;"810205";20;920
3320;"810305";20;920
3420;"810405";20;920
3520;"100025";20;820
3620;"100031";20;820
3720;"100037";20;820
3820;"100039";20;820
3920;"100059";20;820
4020;"100062";20;820
4120;"100064";20;820
4220;"100065";20;820
4320;"100066";20;820
4420;"100067";20;820
4520;"100069";20;820
4620;"100071";20;820
4720;"100113";20;820
4820;"100114";20;820
4920;"100125";20;820
5020;"100128";20;820
5120;"100129";20;820
5220;"100134";20;820
5320;"100139";20;820
5420;"100140";20;820
5520;"100147";20;820
5620;"100148";20;820
5720;"100161";20;820
5820;"100172";20;820
5920;"110023";20;820
6020;"110029";20;820
6120;"131034";20;820
6220;"300021";20;820
6320;"300023";20;820
6420;"300026";20;820
6520;"300027";20;820
6620;"300028";20;820
6720;"300029";20;820
6820;"300030";20;820
6920;"300032";20;820
7020;"300033";20;820
7120;"300034";20;820
7220;"300038";20;820
7320;"300043";20;820
7420;"300045";20;820
7520;"300046";20;820
7620;"300047";20;820
7720;"300048";20;820
7820;"300068";20;820
7920;"300070";20;820
8020;"300079";20;820
8120;"300093";20;820
8220;"300116";20;820
8320;"300117";20;820
8420;"300118";20;820
8520;"300122";20;820
8620;"300130";20;820
8720;"300132";20;820
8820;"300133";20;820
8920;"300152";20;820
9020;"300201";20;820
9120;"300202";20;820
9220;"300203";20;820
9320;"310023";20;820
9420;"310024";20;820
9520;"310025";20;820
9620;"310027";20;820
9720;"310030";20;820
9820;"310031";20;820
9920;"310077";20;820
10020;"310089";20;820
10120;"310107";20;820
10220;"310111";20;820
10320;"310112";20;820
10420;"310120";20;820
10520;"310126";20;820
10620;"310131";20;820
10720;"310132";20;820
10820;"310135";20;820
10920;"310136";20;820
11020;"310137";20;820
11120;"310138";20;820
11220;"310142";20;820
11320;"310143";20;820
11420;"320098";20;820
11520;"330022";20;820
11620;"330023";20;820
11720;"330027";20;820
11820;"330028";20;820
11920;"330029";20;820
12020;"330030";20;820
12120;"330033";20;820
12220;"330035";20;820
12320;"330036";20;820
12420;"330037";20;820
12520;"330040";20;820
12620;"330041";20;820
12720;"330042";20;820
12820;"330043";20;820
12920;"330044";20;820
13020;"330073";20;820
13120;"330074";20;820
13220;"330078";20;820
13320;"330099";20;820
13420;"330100";20;820
13520;"330104";20;820
13620;"330105";20;820
13720;"330115";20;820
13820;"330121";20;820
13920;"330125";20;820
14020;"330127";20;820
14120;"330141";20;820
14220;"330144";20;820
14320;"330145";20;820
14420;"330146";20;820
14520;"330150";20;820
14620;"330157";20;820
14720;"330158";20;820
14820;"330165";20;820
14920;"330166";20;820
15020;"330167";20;820
15120;"330168";20;820
15220;"330171";20;820
15320;"330173";20;820
15420;"330174";20;820
15520;"331106";20;820
15550;"1";320;1150
15650;"2";320;1150
15750;"3";320;1150
15850;"4";320;1150
15950;"5";320;1150
16050;"6";320;1150
16150;"7";320;1150
16250;"8";320;1150
16350;"9";320;1150
16450;"10";320;1150
16550;"11";320;1150
16650;"12";320;1150
16750;"13";320;1150
16850;"14";320;1150
16950;"15";320;1150
17050;"16";320;1150
17150;"17";320;1150
17250;"18";320;1150
17350;"19";320;1150
17450;"20";320;1150
17550;"21";320;1150
17650;"22";320;1150
17750;"23";320;1150
17850;"24";320;1150
17950;"25";320;1150
18050;"26";320;1150
18150;"27";320;1150
18250;"28";320;1150
18350;"29";320;1150
18450;"30";320;1150
18550;"31";320;1150
18650;"32";320;1150
18750;"33";320;1150
18850;"34";320;1150
