"cropDefaultsID";"cropName";"plantDate";"growth10PcntDate";"growthMaxDate";"growthDeclineDate";"growthEndDate";"kc1";"kc2";"kc3";"mad";"rz_val1";"rz_val2";"postCuttingFlatDays";"postCuttingRecoveryDays";"status";"cropRegion"
48;"Alfalfa";91;100;122;139;278;0.33;1.07;0.95;55.0;48.0;60.0;7;14;1;720
49;"Apples";100;112;149;240;290;0.39;1.05;0.5;50.0;36.0;36.0;-1;-1;1;720
50;"Apricots";100;112;149;220;278;0.39;1.1;0.5;50.0;36.0;36.0;-1;-1;1;720
51;"Asparagus";120;130;214;260;278;0.36;1.0;0.87;55.0;36.0;48.0;-1;-1;1;720
53;"Beans (green)";146;150;180;200;211;0.25;0.95;0.8;40.0;4.8;24.0;-1;-1;1;720
54;"Blueberries";85;90;111;195;225;0.25;1.03;0.9;50.0;36.0;48.0;-1;-1;1;720
55;"Bluegrass Seed";72;80;126;155;192;0.25;0.95;0.25;50.0;12.0;30.0;-1;-1;1;720
56;"Cabbage";91;92;160;185;243;0.25;1.0;0.25;40.0;6.0;24.0;-1;-1;1;720
57;"Canola";76;83;122;164;183;0.35;0.9;0.35;55.0;6.0;48.0;-1;-1;1;720
58;"Carrots";91;119;160;220;243;0.7;0.85;0.75;35.0;2.4;24.0;-1;-1;1;720
59;"Cherries";110;112;141;220;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;720
60;"Clover";91;95;117;244;278;0.33;0.92;0.75;45.0;24.0;30.0;7;14;1;720
61;"Corn (grain)";135;160;201;236;259;0.2;1.1;0.3;50.0;5.0;36.0;-1;-1;1;720
62;"Corn (sweet)";130;152;203;230;240;0.25;1.0;0.86;40.0;4.8;30.0;-1;-1;1;720
63;"Cucumbers";136;140;174;240;278;0.5;0.7;0.7;40.0;6.0;24.0;-1;-1;1;720
64;"Grain (Spring)";92;100;160;195;213;0.25;0.95;0.7;50.0;4.0;42.0;-1;-1;1;720
65;"Grain (Winter)";66;85;128;184;196;0.25;0.95;0.9;55.0;12.0;42.0;-1;-1;1;720
66;"Grapes (juice)";110;114;180;277;278;0.25;0.9;0.75;40.0;36.0;36.0;-1;-1;1;720
67;"Grapes (wine)";110;135;210;277;278;0.15;0.7;0.7;65.0;42.0;60.0;-1;-1;1;720
68;"Grass (Hay)";80;90;120;209;278;0.5;0.9;0.72;55.0;12.0;36.0;5;10;1;720
69;"Grass (Pasture)";80;87;118;244;278;0.25;0.65;0.5;55.0;24.0;36.0;-1;-1;1;720
70;"Grass (Turf)";72;80;108;244;278;0.6;0.65;0.65;50.0;12.0;12.0;-1;-1;1;720
71;"Hops";110;158;230;250;274;0.25;1.05;0.2;50.0;36.0;48.0;-1;-1;1;720
72;"Lentils";105;115;155;182;215;0.25;0.88;0.3;50.0;6.0;30.0;-1;-1;1;720
73;"Melons";136;140;174;240;278;0.25;0.8;0.6;40.0;6.0;30.0;-1;-1;1;720
74;"Mustard";76;83;122;164;183;0.25;0.85;0.3;55.0;6.0;24.0;-1;-1;1;720
75;"Onions (dry)";90;122;162;212;239;0.5;0.95;0.55;35.0;2.4;18.0;-1;-1;1;720
76;"Onions (green)";74;99;129;139;144;0.5;1.0;1.0;35.0;6.0;18.0;-1;-1;1;720
